product_id,sku,price
2622,W0534.Z3.DIW.04,15035.52
2623,W0534.Z3.DIW.05,23774.06
2624,W0535.Z3.DIW.02,6332.04
2625,W0535.Z3.DIW.03,8344.32
2626,W0535.Z3.DIW.04,12969.12
2627,W0535.Z3.DIW.05,22058.21
2628,W0537.Z3.DIW.01,1328.40
2629,W0539.Z3.DIW.01,6758.23
2630,W0539.Z3.DIW.02,8915.04
2631,W0539.Z3.DIW.03,13677.60
2632,W0539.Z3.DIW.04,22649.22
2633,W0540.Z3.DIW.02,6494.40
2634,W0540.Z3.DIW.03,8482.08
2635,W0540.Z3.DIW.04,13480.80
2636,W0540.Z3.DIW.05,22401.38
2637,W0541.Z3.DIW.01,6798.82
2638,W0541.Z3.DIW.02,8875.68
2639,W0541.Z3.DIW.03,13480.80
2640,W0541.Z3.DIW.04,22458.57
2641,W0542.Z3.DIW.02,9033.12
2642,W0542.Z3.DIW.03,13559.52
2643,W0542.Z3.DIW.04,22668.28
2644,W0543.Z3.DIW.01,6332.04
2645,W0543.Z3.DIW.02,8423.04
2646,W0543.Z3.DIW.04,22191.66
2647,W0544.Z3.DIW.01,7448.27
2648,W0544.Z3.DIW.02,9485.76
2649,W0544.Z3.DIW.03,14149.92
2650,W0544.Z3.DIW.04,23011.46
2651,W0545.Z3.DIW.01,8077.41
2652,W0545.Z3.DIW.03,14602.56
2653,W0545.Z3.DIW.04,23430.88
2654,W0546.Z3.DIW.01,7935.35
2655,W0546.Z3.DIW.02,9899.04
2656,W0546.Z3.DIW.03,14563.20
2657,W0547.Z3.DIW.01,6677.05
2658,W0547.Z3.DIW.02,8757.60
2659,W0547.Z3.DIW.03,13362.72
2660,W0547.Z3.DIW.04,22611.09
2661,W0548.Z3.DIW.01,9052.80
2662,W0548.Z3.DIW.02,11040.48
2663,W0548.Z3.DIW.04,25585.23
2664,W0549.Z3.DIW.01,10981.44
2665,W0549.Z3.DIW.02,13106.88
2666,W0549.Z3.DIW.03,17101.31
2667,W0549.Z3.DIW.04,26862.59
2668,W0550.Z3.DIW.01,7367.08
2669,W0550.Z3.DIW.03,14149.92
